date,order_date,ship_date,delivery_date,origin_city,destination_city,distance_km,transport_mode,carrier,product_id,supplier,demand_forecast,actual_sales,units_ordered,units_shipped,price_per_unit_INR,cost_per_unit_INR,transport_cost_INR,toll_charges_INR,gst_percent,gst_amount_INR,total_cost_INR,planned_lead_days,actual_lead_days,on_time_delivery,delay_days,damage_rate,return_rate,fuel_price_per_litre_INR,carbon_kg
2025-10-16,2025-10-15,2025-10-15,2025-10-16,Mumbai,Delhi,1400,Road,Carrier-IN-05,SKU-IN-016,Supplier-IN-08,21,21,19,17,1059.48,729.19,2920.69,234.24,5.0,146.03,15697.19,2,1,1,-1,0.015,0.043,99.53,28.56
2024-04-14,2024-04-13,2024-04-14,2024-04-14,Lucknow,Kanpur,90,Rail,Carrier-IN-09,SKU-IN-006,Supplier-IN-19,44,38,37,36,640.1,478.66,231.46,137.38,5.0,11.57,17612.17,2,1,1,-1,0.007,0.037,99.11,1.62
2024-02-02,2024-02-01,2024-02-02,2024-02-02,Mumbai,Pune,150,Road,Carrier-IN-04,SKU-IN-033,Supplier-IN-20,29,23,20,19,421.72,296.21,345.3,21.21,5.0,17.27,6011.77,1,1,1,0,0.007,0.029,96.93,3.42
2025-07-28,2025-07-26,2025-07-28,2025-07-28,Pune,Nashik,160,Rail,Carrier-IN-09,SKU-IN-027,Supplier-IN-08,37,36,35,33,696.88,537.34,379.21,99.78,5.0,18.96,18230.17,2,2,1,0,0.007,0.039,100.2,2.64
2025-08-26,2025-08-25,2025-08-28,2025-08-26,Bengaluru,Hyderabad,570,Rail,Carrier-IN-01,SKU-IN-049,Supplier-IN-06,26,28,30,29,227.75,144.04,1182.56,282.99,5.0,59.13,5701.84,3,1,1,-2,0.015,0.017,99.4,8.26
2025-03-08,2025-03-08,2025-03-09,2025-03-08,Chennai,Bengaluru,350,Road,Carrier-IN-04,SKU-IN-049,Supplier-IN-11,40,42,48,47,907.82,548.57,2049.51,259.99,5.0,102.48,28194.77,1,0,1,-1,0.003,0.038,102.65,19.74
2024-04-04,2024-04-03,2024-04-04,2024-04-04,Kolkata,Patna,540,Road,Carrier-IN-06,SKU-IN-039,Supplier-IN-09,48,43,41,37,454.24,266.68,2446.27,259.86,5.0,122.31,12695.6,1,1,1,0,0.007,0.014,99.06,23.98
2025-04-15,2025-04-15,2025-04-15,2025-04-15,Ahmedabad,Surat,260,Road,Carrier-IN-07,SKU-IN-006,Supplier-IN-18,55,51,49,47,150.55,95.01,1526.96,234.8,5.0,76.35,6303.58,1,0,1,-1,0.003,0.024,103.26,14.66
2025-10-05,2025-10-03,2025-10-03,2025-10-05,Kochi,Bengaluru,550,Rail,Carrier-IN-06,SKU-IN-037,Supplier-IN-07,25,15,16,15,1170.37,902.78,589.95,199.79,5.0,29.5,14360.94,3,2,1,-1,0.007,0.027,99.31,4.12
2024-03-12,2024-03-11,2024-03-11,2024-03-12,Mumbai,Pune,150,Road,Carrier-IN-05,SKU-IN-006,Supplier-IN-08,32,36,37,35,234.9,149.17,641.43,61.43,5.0,32.07,5955.88,1,1,1,0,0.015,0.042,98.63,6.3
